"Title","Description","Link","Hackathon"
"Versioned Walrus","A lib based on walrus DB that supports the version control. A simple file system demo based on this versioned walrus lib.","https://ethglobal.b-cdn.net/projects/3btjd/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"influencer swap","Ai oracle swaps the influencer's photo onto brand's content. the influencer gets paid","https://ethglobal.b-cdn.net/projects/zwff7/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Integration","AI powered post-journey guide to serve theraphy clinics. "Unlocking Lasting Insights, From Treatment to Transformation"","https://ethglobal.b-cdn.net/projects/xuj1k/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Probana","User Powered Prediction Market for Real-World Events on Flow Chain","https://ethglobal.b-cdn.net/projects/sn7tu/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"P3-FV","Auto-generating formal verification specs from Plonky3 circuits","https://ethglobal.b-cdn.net/projects/95jy3/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"NBA MOMENTUM","NBA Momentum is a strategy-driven trading card game that transforms NBA Top Shot moments into competitive, stats-based gameplay. Players build decks and compete by using real NBA moments with custom abilities.","https://ethglobal.b-cdn.net/projects/9shz6/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Engagemint","Engagemint empowers users to earn, tokenize, and unlock rewards for their attention on their favorite artists and influencers. Mint unique tokens, track engagement, and redeem exclusive perks—all in a Web3 ecosystem.","https://ethglobal.b-cdn.net/projects/t6caw/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"BlockLingo","A decentralized protocol enabling direct asset transfers between different blockchains.","https://ethglobal.b-cdn.net/projects/9pf20/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"ToneRight","TuneRight is a web marketplace where artists and production companies trade music licensing as intellectual property. It empowers users to register their music, set licensing terms, manage royalties, and ensures the original artist is always credited and compensated.","https://ethglobal.b-cdn.net/projects/xdj7q/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Build Villager","An interface to write community benefits into intellectual patent acquisitions","https://ethglobal.b-cdn.net/projects/qsadf/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"APIWink","APIWink at core is an API micro-lending service, ideal to attract more users and reduce costs. It's developed on Skale contracts, invisible custodial experience, Europa testnet and program money.","https://ethglobal.b-cdn.net/projects/2ogub/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"Photo Booth","Photo Booth is a fun tool that lets people take photos and add fun overlays including Nouns glasses and their ENS.","https://ethglobal.b-cdn.net/projects/h1pz9/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
"zk-checkpoint","ZK proofs for checkpointing on Polygon PoS to save on settlement gas and faster interop","https://ethglobal.b-cdn.net/projects/1humr/banner/default.jpg","ETHGLOBAL SAN FRANCISCO"
